,Genre,,,Awards,Awards - Split 1 ,Awards - Split 2,Awards - Split 3,Total Awards,Metascore,imdbVotes
183,Comedy, Romance,,Won 5 Oscars. Another 5 wins & 1 nomination.,5,5,1,11,N/A,"70,807"
184,Mystery, Thriller,,8 wins & 62 nominations.,8,62,,70,63,"862,078"
185,Comedy,,,N/A,,,,0,75,"291,865"
186,Drama, War,,Won 4 Oscars. Another 19 wins & 14 nominations.,4,19,14,37,92,"311,879"
187,Comedy, Drama, Thriller,Nominated for 1 Oscar. Another 44 wins & 53 nominations.,1,44,53,98,77,"112,743"
188,Biography, Drama, History,Nominated for 3 Oscars. Another 16 wins & 45 nominations.,3,16,45,64,79,"282,079"
189,Action, Biography, Drama,Nominated for 2 Golden Globes. Another 6 wins & 62 nominations.,2,6,62,70,75,"341,336"
190,Adventure, Drama, Thriller,Won 1 BAFTA Film Award. Another 5 wins.,1,5,,6,N/A,"38,646"
191,Drama,,,Won 4 Oscars. Another 15 wins & 25 nominations.,4,15,25,44,88,"111,892"
192,Biography, Drama,,Nominated for 7 Oscars. Another 7 wins & 21 nominations.,7,7,21,35,84,"119,905"
193,Adventure, Drama,,Nominated for 1 Oscar. Another 4 wins & 11 nominations.,1,4,11,16,75,"292,157"
194,Crime, Drama,,Nominated for 1 Oscar. Another 7 wins & 3 nominations.,1,7,3,11,N/A,"76,599"
195,Adventure, Drama, History,Won 11 Oscars. Another 16 wins & 13 nominations.,11,16,13,40,90,"175,529"
196,Adventure, Comedy, Drama,Won 4 Oscars. Another 127 wins & 217 nominations.,4,127,217,348,88,"537,323"
197,Crime, Drama, History,Won 2 Oscars. Another 115 wins & 134 nominations.,2,115,134,251,93,"274,216"
198,Action, Adventure, Sci-Fi,Won 6 Oscars. Another 231 wins & 208 nominations.,6,231,208,445,90,"638,510"
199,Biography, Drama, History,Won 3 Oscars. Another 235 wins & 326 nominations.,3,235,326,564,96,"490,387"
200,Drama, Thriller,,Nominated for 1 BAFTA Film Award. Another 6 wins & 3 nominations.,1,6,3,10,N/A,"68,948"
201,Drama, Sport,,Won 4 Oscars. Another 63 wins & 83 nominations.,4,63,83,150,86,"519,405"
202,Biography, Crime, Drama,Won 4 Oscars. Another 16 wins & 14 nominations.,4,16,14,34,58,"163,664"
203,Adventure, Sci-Fi, Thriller,Won 3 Oscars. Another 28 wins & 17 nominations.,3,28,17,48,68,"670,652"
